variable,table,category,status,source,notes
R0_AspirinStartMnth,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Medical history: drugs and suppliments
R0_AspirinStartYr,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Medical history: drugs and suppliments
R0_BBD_Abnormality,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Age1,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Age2,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Biopsy2,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Biopsy3,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Biopsy4,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_BothRem2,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_BothRem3,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_BothRem4,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Breast1,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Breast2,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Breast3,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Breast4,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_FromAge2,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_FromAge3,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_FromAge4,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_FromMnth2,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_FromMnth3,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_FromMnth4,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_FromYr2,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_FromYr3,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_FromYr4,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Further,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_HospitalSurgery1,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_HospitalSurgery2,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_HospitalSurgery3,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_HospitalSurgery4,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Lump2,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Lump3,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Lump4,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Mastec2,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Mastec3,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Mastec4,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Month2,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Month3,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Month4,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_MoreRangeTime,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_MoreThan4,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Other2,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Other3,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Other4,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_OtherType1,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_OtherType2,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_OtherType3,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_OtherType4,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_ProcedureType1,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_ProcedureType2,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_ProcedureType3,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_ProcedureType4,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Surgery1,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Surgery2,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Surgery3,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Surgery4,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_ToAge2,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_ToAge3,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_ToAge4,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_ToMnth2,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_ToMnth3,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_ToMnth4,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_ToYr2,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_ToYr3,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_ToYr4,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_TownSurgery1,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_TownSurgery2,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_TownSurgery3,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_TownSurgery4,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Type1,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Type2,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Type3,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Type4,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Yr2,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Yr3,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD_Yr4,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD__Age3,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BBD__Age4,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Disease
R0_BC1DrugRegimen1Name,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen1StartMonth,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen1StartYear,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen1StopMonth,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen1StopYear,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen2Name,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen2StartMonth,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen2StartYear,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen2StopMonth,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen2StopYear,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen3Name,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen3Ongoing,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen3StartMonth,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen3StartYear,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
R0_BC1DrugRegimen3StopMonth,r0_questionnaire,,pending,BaselineMetadata.xlsx Questions sheet,Breast Cancer
