variable,table,category,status,source,notes
WORK_SHIFTS_1_1,questionnaire,work_education,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
WORK_STATUS_1_M,questionnaire,work_education,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
WORK_STATUS_2_M,questionnaire,work_education,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
WORK_TRANSPORT_1_M,questionnaire,work_education,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
WORK_WALK_STAND_1_1,questionnaire,work_education,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
WORK_WK_HRS_1_1,questionnaire,work_education,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
WORK_WK_TRAVEL_1_1,questionnaire,work_education,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
WORK_YRS_1_1,questionnaire,work_education,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ACTIVITY_MOD_DAYS_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ACTIVITY_MOD_DAYS_2_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ACTIVITY_MOD_MINS_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ACTIVITY_MOD_MINS_2_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ACTIVITY_STAIRS_1_1,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
ACTIVITY_TRANSPORT_1_M,questionnaire,lifestyle,converted,our_future_health_data_dictionary_v14.xlsx / our_future_health_codings_v14.xlsx,
